split,city,sample_id,image_path,label_path,instance_path,person_pixels,car_pixels,motorcycle_pixels,person_instances,car_instances,motorcycle_instances,has_all_three,passes_minimum,passes_ratio,selection_tier,selection_tier_name,person_ratio,car_ratio,motorcycle_ratio,total_target_pixels,balance_error,balance_score,quantity_score,instance_score,total_area_score,motorcycle_ratio_score,score
train,hamburg,hamburg_000000_091900,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\hamburg\hamburg_000000_091900_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\hamburg\hamburg_000000_091900_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\hamburg\hamburg_000000_091900_gtFine_instanceIds.png",29771,56907,26540,6,7,3,True,True,True,1,Tier 1 - Strong and balanced,0.262952887350068,0.502632090303662,0.23441502234627004,113218,0.03704711264993199,0.962952887350068,1.0,1.0,1.0,1.0,98.51811549400273
train,hanover,hanover_000000_026743,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\hanover\hanover_000000_026743_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\hanover\hanover_000000_026743_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\hanover\hanover_000000_026743_gtFine_instanceIds.png",15889,38564,22113,14,11,4,True,True,True,1,Tier 1 - Strong and balanced,0.2075203092756576,0.5036700363085442,0.28880965441579814,76566,0.09247969072434238,0.9075203092756576,1.0,1.0,1.0,1.0,96.30081237102631
train,bremen,bremen_000054_000019,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\bremen\bremen_000054_000019_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\bremen\bremen_000054_000019_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\bremen\bremen_000054_000019_gtFine_instanceIds.png",21508,26166,14071,7,5,2,True,True,True,1,Tier 1 - Strong and balanced,0.3483358976435339,0.42377520446999756,0.22788889788646854,61745,0.07622479553000244,0.9237752044699976,0.9554442712379589,0.9410360288810286,1.0,1.0,94.7298767491541
val,frankfurt,frankfurt_000000_012868,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\val\frankfurt\frankfurt_000000_012868_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\val\frankfurt\frankfurt_000000_012868_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\val\frankfurt\frankfurt_000000_012868_gtFine_instanceIds.png",64937,233614,92332,9,6,2,True,True,True,1,Tier 1 - Strong and balanced,0.16612899512130228,0.5976570994389625,0.23621390543973517,390883,0.13387100487869769,0.8661289951213023,1.0,1.0,1.0,1.0,94.6451598048521
train,weimar,weimar_000017_000019,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\weimar\weimar_000017_000019_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\weimar\weimar_000017_000019_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\weimar\weimar_000017_000019_gtFine_instanceIds.png",43006,64140,30633,11,4,1,True,True,True,1,Tier 1 - Strong and balanced,0.31213755361847595,0.4655281283795063,0.22233431800201772,137779,0.034471871620493685,0.9655281283795063,1.0,0.6933612743506347,1.0,1.0,94.02154425043977
train,monchengladbach,monchengladbach_000000_002255,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\monchengladbach\monchengladbach_000000_002255_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\monchengladbach\monchengladbach_000000_002255_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\monchengladbach\monchengladbach_000000_002255_gtFine_instanceIds.png",18405,28822,10721,2,8,1,True,True,True,1,Tier 1 - Strong and balanced,0.31761234209981365,0.4973769586525851,0.1850106992476013,57948,0.017612342099813647,0.9823876579001863,0.9867359540661723,0.6299605249474366,1.0,0.9250534962380065,92.9722602933942
train,zurich,zurich_000052_000019,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\zurich\zurich_000052_000019_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\zurich\zurich_000052_000019_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\zurich\zurich_000052_000019_gtFine_instanceIds.png",21358,33724,7755,10,8,3,True,True,True,1,Tier 1 - Strong and balanced,0.3398952846253004,0.5366901666215764,0.12341454875312316,62837,0.07658545124687684,0.9234145487531231,0.9187427691596214,1.0,1.0,0.6170727437656157,92.58422874374165
val,frankfurt,frankfurt_000000_017476,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\val\frankfurt\frankfurt_000000_017476_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\val\frankfurt\frankfurt_000000_017476_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\val\frankfurt\frankfurt_000000_017476_gtFine_instanceIds.png",22452,60545,13043,3,10,2,True,True,True,1,Tier 1 - Strong and balanced,0.23377759266972095,0.630414410662224,0.135807996668055,96040,0.13041441066222403,0.869585589337776,1.0,0.9085602964160698,1.0,0.6790399833402749,91.80702793645345
train,ulm,ulm_000069_000019,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\ulm\ulm_000069_000019_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\ulm\ulm_000069_000019_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\ulm\ulm_000069_000019_gtFine_instanceIds.png",117420,356878,80308,3,9,4,True,True,True,1,Tier 1 - Strong and balanced,0.21171786818029376,0.6434802364200892,0.14480189539961702,554606,0.14348023642008922,0.8565197635799108,1.0,0.9085602964160698,1.0,0.724009476998085,91.5092423744279
train,strasbourg,strasbourg_000001_005289,"C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\leftImg8bit\train\strasbourg\strasbourg_000001_005289_leftImg8bit.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\strasbourg\strasbourg_000001_005289_gtFine_labelIds.png","C:\Documents\Year 4 , Term 1\multiclass_scsc\data\raw\gtFine\train\strasbourg\strasbourg_000001_005289_gtFine_instanceIds.png",20781,30089,9395,2,7,1,True,True,True,1,Tier 1 - Strong and balanced,0.3448270140214055,0.4992781880029868,0.15589479797560774,60265,0.04482701402140549,0.9551729859785945,0.9794123924308914,0.6299605249474366,1.0,0.7794739898780386,90.93606903567226
