sample_id,class_id,class_name,instance_id,object_pixels,selected_total,interior_positive,boundary_positive,interior_region_pixels,boundary_region_pixels
hamburg_000000_091900,1,person,24000,763,100,70,30,534,229
hamburg_000000_091900,1,person,24001,893,100,70,30,625,268
hamburg_000000_091900,1,person,24002,851,100,70,30,595,256
hamburg_000000_091900,1,person,25000,12719,100,70,30,8903,3816
hamburg_000000_091900,1,person,25001,7751,100,70,30,5425,2326
hamburg_000000_091900,1,person,25002,6794,100,70,30,4755,2039
hamburg_000000_091900,2,car,26000,5219,100,70,30,3653,1566
hamburg_000000_091900,2,car,26001,16836,100,70,30,11785,5051
hamburg_000000_091900,2,car,26002,17235,100,70,30,12064,5171
hamburg_000000_091900,2,car,26003,133,100,70,30,93,40
hamburg_000000_091900,2,car,26004,7442,100,70,30,5209,2233
hamburg_000000_091900,2,car,26005,359,100,70,30,251,108
hamburg_000000_091900,2,car,26006,9683,100,70,30,6778,2905
hamburg_000000_091900,3,motorcycle,32000,11245,100,70,30,7871,3374
hamburg_000000_091900,3,motorcycle,32001,7340,100,70,30,5138,2202
hamburg_000000_091900,3,motorcycle,32002,7955,100,70,30,5568,2387
hanover_000000_026743,1,person,24000,1202,100,70,30,841,361
hanover_000000_026743,1,person,24001,808,100,70,30,565,243
hanover_000000_026743,1,person,24002,286,100,70,30,200,86
hanover_000000_026743,1,person,24003,485,100,70,30,339,146
hanover_000000_026743,1,person,24004,675,100,70,30,472,203
hanover_000000_026743,1,person,24005,387,100,70,30,270,117
hanover_000000_026743,1,person,24006,517,100,70,30,361,156
hanover_000000_026743,1,person,24007,822,100,70,30,575,247
hanover_000000_026743,1,person,24008,2785,100,70,30,1949,836
hanover_000000_026743,1,person,24009,2167,100,70,30,1516,651
hanover_000000_026743,1,person,24010,1459,100,70,30,1021,438
hanover_000000_026743,1,person,24011,1849,100,70,30,1294,555
hanover_000000_026743,1,person,24012,988,100,70,30,691,297
hanover_000000_026743,1,person,24013,1459,100,70,30,1021,438
hanover_000000_026743,2,car,26000,5133,100,70,30,3593,1540
hanover_000000_026743,2,car,26001,16185,100,70,30,11329,4856
hanover_000000_026743,2,car,26002,1034,100,70,30,723,311
hanover_000000_026743,2,car,26003,225,100,70,30,157,68
hanover_000000_026743,2,car,26004,1058,100,70,30,740,318
hanover_000000_026743,2,car,26005,1992,100,70,30,1394,598
hanover_000000_026743,2,car,26006,5315,100,70,30,3720,1595
hanover_000000_026743,2,car,26007,600,100,70,30,420,180
hanover_000000_026743,2,car,26008,1238,100,70,30,866,372
hanover_000000_026743,2,car,26009,3423,100,70,30,2396,1027
hanover_000000_026743,2,car,26010,2361,100,70,30,1652,709
hanover_000000_026743,3,motorcycle,32000,11190,100,70,30,7833,3357
hanover_000000_026743,3,motorcycle,32001,9849,100,70,30,6894,2955
hanover_000000_026743,3,motorcycle,32002,254,100,70,30,177,77
hanover_000000_026743,3,motorcycle,32003,820,100,70,30,574,246
bremen_000054_000019,1,person,24000,531,100,70,30,371,160
bremen_000054_000019,1,person,24001,537,100,70,30,375,162
bremen_000054_000019,1,person,24002,740,100,70,30,518,222
bremen_000054_000019,1,person,24003,3232,100,70,30,2262,970
bremen_000054_000019,1,person,24004,472,100,70,30,330,142
bremen_000054_000019,1,person,25000,5925,100,70,30,4147,1778
bremen_000054_000019,1,person,25001,9467,100,70,30,6626,2841
bremen_000054_000019,2,car,26000,909,100,70,30,636,273
bremen_000054_000019,2,car,26001,4618,100,70,30,3232,1386
bremen_000054_000019,2,car,26002,5562,100,70,30,3893,1669
bremen_000054_000019,2,car,26003,791,100,70,30,553,238
bremen_000054_000019,2,car,26004,14286,100,70,30,10000,4286
bremen_000054_000019,3,motorcycle,32000,524,100,70,30,366,158
bremen_000054_000019,3,motorcycle,32001,13547,100,70,30,9482,4065
weimar_000017_000019,1,person,24000,515,100,70,30,360,155
weimar_000017_000019,1,person,24001,1849,100,70,30,1294,555
weimar_000017_000019,1,person,24002,3409,100,70,30,2386,1023
weimar_000017_000019,1,person,24003,6066,100,70,30,4246,1820
weimar_000017_000019,1,person,24004,388,100,70,30,271,117
weimar_000017_000019,1,person,24005,758,100,70,30,530,228
weimar_000017_000019,1,person,24006,1207,100,70,30,844,363
weimar_000017_000019,1,person,24007,1494,100,70,30,1045,449
weimar_000017_000019,1,person,24008,1156,100,70,30,809,347
weimar_000017_000019,1,person,25000,7625,100,70,30,5337,2288
weimar_000017_000019,1,person,25001,18539,100,70,30,12977,5562
weimar_000017_000019,2,car,26000,42045,100,70,30,29431,12614
weimar_000017_000019,2,car,26001,50,50,35,15,35,15
weimar_000017_000019,2,car,26002,643,100,70,30,450,193
weimar_000017_000019,2,car,26003,11987,100,70,30,8390,3597
weimar_000017_000019,3,motorcycle,32000,30633,100,70,30,21443,9190
monchengladbach_000000_002255,1,person,25000,3227,100,70,30,2258,969
monchengladbach_000000_002255,1,person,25001,15178,100,70,30,10624,4554
monchengladbach_000000_002255,2,car,26000,493,100,70,30,345,148
monchengladbach_000000_002255,2,car,26001,2893,100,70,30,2025,868
monchengladbach_000000_002255,2,car,26002,2030,100,70,30,1421,609
monchengladbach_000000_002255,2,car,26003,3011,100,70,30,2107,904
monchengladbach_000000_002255,2,car,26004,5307,100,70,30,3714,1593
monchengladbach_000000_002255,2,car,26005,6195,100,70,30,4336,1859
monchengladbach_000000_002255,2,car,26006,4555,100,70,30,3188,1367
monchengladbach_000000_002255,2,car,26007,2589,100,70,30,1812,777
monchengladbach_000000_002255,3,motorcycle,32000,10721,100,70,30,7504,3217
zurich_000052_000019,1,person,24000,160,100,70,30,112,48
zurich_000052_000019,1,person,24001,224,100,70,30,156,68
zurich_000052_000019,1,person,24002,1350,100,70,30,945,405
zurich_000052_000019,1,person,24003,882,100,70,30,617,265
zurich_000052_000019,1,person,24004,5180,100,70,30,3626,1554
zurich_000052_000019,1,person,24005,6003,100,70,30,4202,1801
zurich_000052_000019,1,person,24006,3137,100,70,30,2195,942
zurich_000052_000019,1,person,25000,1900,100,70,30,1330,570
zurich_000052_000019,1,person,25001,2090,100,70,30,1463,627
zurich_000052_000019,1,person,25002,432,100,70,30,302,130
zurich_000052_000019,2,car,26000,284,100,70,30,198,86
zurich_000052_000019,2,car,26001,186,100,70,30,130,56
zurich_000052_000019,2,car,26002,284,100,70,30,198,86
zurich_000052_000019,2,car,26003,1333,100,70,30,933,400
zurich_000052_000019,2,car,26004,1855,100,70,30,1298,557
zurich_000052_000019,2,car,26005,410,100,70,30,287,123
zurich_000052_000019,2,car,26006,3851,100,70,30,2695,1156
zurich_000052_000019,2,car,26007,25521,100,70,30,17864,7657
zurich_000052_000019,3,motorcycle,32000,5278,100,70,30,3694,1584
zurich_000052_000019,3,motorcycle,32001,1620,100,70,30,1134,486
zurich_000052_000019,3,motorcycle,32002,857,100,70,30,599,258
ulm_000069_000019,1,person,25003,7556,100,70,30,5289,2267
ulm_000069_000019,1,person,25004,87180,100,70,30,61026,26154
ulm_000069_000019,1,person,25005,22684,100,70,30,15878,6806
ulm_000069_000019,2,car,26000,476,100,70,30,333,143
ulm_000069_000019,2,car,26001,1605,100,70,30,1123,482
ulm_000069_000019,2,car,26002,20648,100,70,30,14453,6195
ulm_000069_000019,2,car,26003,6229,100,70,30,4360,1869
ulm_000069_000019,2,car,26004,60679,100,70,30,42475,18204
ulm_000069_000019,2,car,26005,148783,100,70,30,104148,44635
ulm_000069_000019,2,car,26006,10882,100,70,30,7617,3265
ulm_000069_000019,2,car,26007,1780,100,70,30,1246,534
ulm_000069_000019,2,car,26008,105796,100,70,30,74057,31739
ulm_000069_000019,3,motorcycle,32000,868,100,70,30,607,261
ulm_000069_000019,3,motorcycle,32001,243,100,70,30,170,73
ulm_000069_000019,3,motorcycle,32002,43386,100,70,30,30370,13016
ulm_000069_000019,3,motorcycle,32003,35811,100,70,30,25067,10744
strasbourg_000001_005289,1,person,24000,10210,100,70,30,7147,3063
strasbourg_000001_005289,1,person,24001,10571,100,70,30,7399,3172
strasbourg_000001_005289,2,car,26000,151,100,70,30,105,46
strasbourg_000001_005289,2,car,26001,5136,100,70,30,3595,1541
strasbourg_000001_005289,2,car,26002,1870,100,70,30,1309,561
strasbourg_000001_005289,2,car,26003,469,100,70,30,328,141
strasbourg_000001_005289,2,car,26004,2503,100,70,30,1752,751
strasbourg_000001_005289,2,car,26005,792,100,70,30,554,238
strasbourg_000001_005289,2,car,26006,18779,100,70,30,13145,5634
strasbourg_000001_005289,3,motorcycle,32000,9395,100,70,30,6576,2819
bremen_000052_000019,1,person,24000,1392,100,70,30,974,418
bremen_000052_000019,1,person,24001,287,100,70,30,200,87
bremen_000052_000019,1,person,24002,1467,100,70,30,1026,441
bremen_000052_000019,1,person,24003,1677,100,70,30,1173,504
bremen_000052_000019,1,person,24004,1489,100,70,30,1042,447
bremen_000052_000019,1,person,24005,1102,100,70,30,771,331
bremen_000052_000019,1,person,24006,1120,100,70,30,784,336
bremen_000052_000019,1,person,24007,1037,100,70,30,725,312
bremen_000052_000019,1,person,24008,1466,100,70,30,1026,440
bremen_000052_000019,1,person,24009,759,100,70,30,531,228
bremen_000052_000019,1,person,24010,1181,100,70,30,826,355
bremen_000052_000019,1,person,24011,1226,100,70,30,858,368
bremen_000052_000019,1,person,24012,406,100,70,30,284,122
bremen_000052_000019,1,person,24013,1341,100,70,30,938,403
bremen_000052_000019,1,person,24014,1240,100,70,30,868,372
bremen_000052_000019,1,person,24015,709,100,70,30,496,213
bremen_000052_000019,1,person,24016,1832,100,70,30,1282,550
bremen_000052_000019,1,person,24017,1494,100,70,30,1045,449
bremen_000052_000019,1,person,24018,1644,100,70,30,1150,494
bremen_000052_000019,1,person,24019,200,100,70,30,140,60
bremen_000052_000019,1,person,24020,271,100,70,30,189,82
bremen_000052_000019,1,person,25000,2781,100,70,30,1946,835
bremen_000052_000019,1,person,25001,12008,100,70,30,8405,3603
bremen_000052_000019,1,person,25002,7962,100,70,30,5573,2389
bremen_000052_000019,1,person,25003,1568,100,70,30,1097,471
bremen_000052_000019,1,person,25004,850,100,70,30,595,255
bremen_000052_000019,1,person,25005,1279,100,70,30,895,384
bremen_000052_000019,2,car,26000,859,100,70,30,601,258
bremen_000052_000019,2,car,26001,2573,100,70,30,1801,772
bremen_000052_000019,2,car,26002,699,100,70,30,489,210
bremen_000052_000019,2,car,26003,958,100,70,30,670,288
bremen_000052_000019,2,car,26004,167,100,70,30,116,51
bremen_000052_000019,2,car,26005,2433,100,70,30,1703,730
bremen_000052_000019,2,car,26006,16559,100,70,30,11591,4968
