sample_id,class_id,class_name,instances,positive_total,interior_positive,boundary_positive,boundary_ratio,negative_total,background_negative,other_class_negative,total_supervision_points
hamburg_000000_091900,1,person,6,600,420,180,0.3,600,300,300,1200
hamburg_000000_091900,2,car,7,700,490,210,0.3,700,350,350,1400
hamburg_000000_091900,3,motorcycle,3,300,210,90,0.3,300,150,150,600
hanover_000000_026743,1,person,14,1400,980,420,0.3,1400,700,700,2800
hanover_000000_026743,2,car,11,1100,770,330,0.3,1100,550,550,2200
hanover_000000_026743,3,motorcycle,4,400,280,120,0.3,400,200,200,800
bremen_000054_000019,1,person,7,700,490,210,0.3,700,350,350,1400
bremen_000054_000019,2,car,5,500,350,150,0.3,500,250,250,1000
bremen_000054_000019,3,motorcycle,2,200,140,60,0.3,200,100,100,400
weimar_000017_000019,1,person,11,1100,770,330,0.3,1100,550,550,2200
weimar_000017_000019,2,car,4,350,245,105,0.3,350,175,175,700
weimar_000017_000019,3,motorcycle,1,100,70,30,0.3,100,50,50,200
monchengladbach_000000_002255,1,person,2,200,140,60,0.3,200,100,100,400
monchengladbach_000000_002255,2,car,8,800,560,240,0.3,800,400,400,1600
monchengladbach_000000_002255,3,motorcycle,1,100,70,30,0.3,100,50,50,200
zurich_000052_000019,1,person,10,1000,700,300,0.3,1000,500,500,2000
zurich_000052_000019,2,car,8,800,560,240,0.3,800,400,400,1600
zurich_000052_000019,3,motorcycle,3,300,210,90,0.3,300,150,150,600
ulm_000069_000019,1,person,3,300,210,90,0.3,300,150,150,600
ulm_000069_000019,2,car,9,900,630,270,0.3,900,450,450,1800
ulm_000069_000019,3,motorcycle,4,400,280,120,0.3,400,200,200,800
strasbourg_000001_005289,1,person,2,200,140,60,0.3,200,100,100,400
strasbourg_000001_005289,2,car,7,700,490,210,0.3,700,350,350,1400
strasbourg_000001_005289,3,motorcycle,1,100,70,30,0.3,100,50,50,200
bremen_000052_000019,1,person,27,2700,1890,810,0.3,2700,1350,1350,5400
bremen_000052_000019,2,car,10,1000,700,300,0.3,1000,500,500,2000
bremen_000052_000019,3,motorcycle,2,200,140,60,0.3,200,100,100,400
hamburg_000000_071675,1,person,15,1387,970,417,0.300648882480173,1387,693,694,2774
hamburg_000000_071675,2,car,15,1470,1029,441,0.3,1470,735,735,2940
hamburg_000000_071675,3,motorcycle,2,200,140,60,0.3,200,100,100,400
zurich_000069_000019,1,person,9,900,630,270,0.3,900,450,450,1800
zurich_000069_000019,2,car,6,600,420,180,0.3,600,300,300,1200
zurich_000069_000019,3,motorcycle,5,500,350,150,0.3,500,250,250,1000
hamburg_000000_018592,1,person,4,400,280,120,0.3,400,200,200,800
hamburg_000000_018592,2,car,26,2472,1730,742,0.30016181229773464,2472,1236,1236,4944
hamburg_000000_018592,3,motorcycle,2,200,140,60,0.3,200,100,100,400
cologne_000054_000019,1,person,10,964,675,289,0.29979253112033194,964,482,482,1928
cologne_000054_000019,2,car,12,1200,840,360,0.3,1200,600,600,2400
cologne_000054_000019,3,motorcycle,2,200,140,60,0.3,200,100,100,400
hanover_000000_040051,1,person,17,1700,1190,510,0.3,1700,850,850,3400
hanover_000000_040051,2,car,5,500,350,150,0.3,500,250,250,1000
hanover_000000_040051,3,motorcycle,1,100,70,30,0.3,100,50,50,200
hamburg_000000_088983,1,person,11,1075,753,322,0.29953488372093023,1075,537,538,2150
hamburg_000000_088983,2,car,20,1928,1350,578,0.29979253112033194,1928,964,964,3856
hamburg_000000_088983,3,motorcycle,2,200,140,60,0.3,200,100,100,400
tubingen_000052_000019,1,person,5,500,350,150,0.3,500,250,250,1000
tubingen_000052_000019,2,car,11,1100,770,330,0.3,1100,550,550,2200
tubingen_000052_000019,3,motorcycle,2,200,140,60,0.3,200,100,100,400
aachen_000041_000019,1,person,10,1000,700,300,0.3,1000,500,500,2000
aachen_000041_000019,2,car,8,800,560,240,0.3,800,400,400,1600
aachen_000041_000019,3,motorcycle,1,100,70,30,0.3,100,50,50,200
zurich_000041_000019,1,person,18,1800,1260,540,0.3,1800,900,900,3600
zurich_000041_000019,2,car,4,400,280,120,0.3,400,200,200,800
zurich_000041_000019,3,motorcycle,2,200,140,60,0.3,200,100,100,400
hamburg_000000_027304,1,person,18,1800,1260,540,0.3,1800,900,900,3600
hamburg_000000_027304,2,car,11,1100,770,330,0.3,1100,550,550,2200
hamburg_000000_027304,3,motorcycle,1,100,70,30,0.3,100,50,50,200
bremen_000217_000019,1,person,18,1778,1245,533,0.2997750281214848,1778,889,889,3556
bremen_000217_000019,2,car,4,400,280,120,0.3,400,200,200,800
bremen_000217_000019,3,motorcycle,1,100,70,30,0.3,100,50,50,200
tubingen_000056_000019,1,person,14,1400,980,420,0.3,1400,700,700,2800
tubingen_000056_000019,2,car,5,500,350,150,0.3,500,250,250,1000
tubingen_000056_000019,3,motorcycle,1,100,70,30,0.3,100,50,50,200
strasbourg_000000_013223,1,person,10,925,648,277,0.29945945945945945,925,463,462,1850
strasbourg_000000_013223,2,car,16,1600,1120,480,0.3,1600,800,800,3200
strasbourg_000000_013223,3,motorcycle,2,200,140,60,0.3,200,100,100,400
strasbourg_000001_024152,1,person,3,300,210,90,0.3,300,150,150,600
strasbourg_000001_024152,2,car,9,900,630,270,0.3,900,450,450,1800
strasbourg_000001_024152,3,motorcycle,1,100,70,30,0.3,100,50,50,200
zurich_000014_000019,1,person,8,800,560,240,0.3,800,400,400,1600
zurich_000014_000019,2,car,3,300,210,90,0.3,300,150,150,600
zurich_000014_000019,3,motorcycle,1,100,70,30,0.3,100,50,50,200
