Iter,ObjFun,DFid,RegL1,Cnstr,XPrRsdl,XDlRsdl,XRho,DPrRsdl,DDlRsdl,DRho,Time
0,914.2838368415833,909.8314819335938,113.82124,3.5857275e-07,0.98895293,0.042652745,2.4558542,0.10815168774057701,0.1320206119962014,10.0,24.715338099980727
1,724.8703002929688,624.554443359375,2564.5024,5.299117e-07,0.8788132,0.17006128,2.4558542,0.18217965960502625,0.2064362612623775,10.0,31.77371639997
2,644.1486206054688,382.26641845703125,6694.8296,3.8379181e-07,0.42304158,0.21251467,2.4558542,0.14743872267898206,0.25158257675619267,10.0,38.83056209998904
3,620.5090637207031,281.2838439941406,8672.048,3.2181063e-07,0.30224025,0.15936756,2.4558542,0.1282774806022644,0.1325994248115766,10.0,45.63982919999398
4,557.3057098388672,225.08998107910156,8492.855,3.7308325e-07,0.23952606,0.1365381,2.4558542,0.11684514492656013,0.12177086638299499,10.0,51.747093399986625
5,521.9108581542969,214.08767700195312,7869.278,4.3383145e-07,0.20795509,0.1125967,2.4558542,0.0999533087015152,0.1294641923568956,10.0,57.70549849997042
6,498.2945861816406,202.91683959960938,7551.1187,4.464313e-07,0.17578654,0.089662,2.4558542,0.08165551638188252,0.15260701743263874,10.0,63.72734419995686
7,482.3225860595703,186.9635772705078,7550.64,4.7289112e-07,0.15986228,0.078478836,2.4558542,0.06903257220983505,0.14672862292985328,10.0,69.8466440999764
8,472.5754089355469,175.13079833984375,7603.957,5.606903e-07,0.13553044,0.070391685,2.4558542,0.05799159323496486,0.1325601348367307,10.0,76.23172819998581
9,463.01649475097656,168.0572052001953,7540.4214,5.06983e-07,0.12641665,0.064639196,2.4558542,0.05081222951412201,0.11388087641662842,10.0,82.55925449996721
10,454.06590270996094,165.5486602783203,7375.7354,4.0263097e-07,0.110240504,0.059757482,2.4558542,0.04416893615564158,0.10698245267973899,10.0,88.44609529996524
11,446.7424011230469,164.66232299804688,7211.174,3.4241225e-07,0.10392843,0.054526392,2.4558542,0.03967282548546791,0.10185287730121116,10.0,94.44678389996989
12,440.7431945800781,162.78997802734375,7105.6733,6.475269e-07,0.09211239,0.049705923,2.4558542,0.034750054919968916,0.09916067979427944,10.0,100.48156519996701
13,435.91831970214844,159.8900604248047,7056.4634,5.5988625e-07,0.0868139,0.04563945,2.4558542,0.03126251697540283,0.09266856588846038,10.0,106.76918800000567
14,431.8695831298828,157.04359436035156,7025.728,7.320218e-07,0.07692484,0.04210846,2.4558542,0.02752748610671433,0.08675557721389095,10.0,113.18011989997467
15,428.3322448730469,154.95892333984375,6988.592,4.5746737e-07,0.072488666,0.039190672,2.4558542,0.02512502856552601,0.08076472032747699,10.0,119.2433928999817
