sample_id,split,model_height,model_width,num_filters,iterations,solve_time_seconds,objective,data_fidelity,reg_l1,primal_residual,dual_residual,nonzero_coefficients,total_coefficients,coefficient_density,mean_abs_coefficient,l1_norm
hamburg_000000_091900,train,256,512,16,36,5.73389319999842,9.542368650436401,3.3611843585968018,158.01751708984375,0.0049540940672159195,0.0033692398574203253,7811,2097152,0.0037245750427246094,7.068479317240417e-05,148.23675537109375
hanover_000000_026743,train,256,512,16,35,3.677184500033036,16.82596778869629,5.169205665588379,297.9967041015625,0.0046678087674081326,0.00383129739202559,15127,2097152,0.007213115692138672,0.00013645613216795027,286.16925048828125
bremen_000054_000019,train,256,512,16,38,4.199488000012934,11.396457195281982,5.232972145080566,157.56504821777344,0.004995852243155241,0.0021384162828326225,10752,2097152,0.005126953125,7.035327871562913e-05,147.54151916503906
weimar_000017_000019,train,256,512,16,35,3.7311815000139177,21.548823356628418,6.633975982666016,381.2873229980469,0.004708427935838699,0.004465173929929733,17556,2097152,0.008371353149414062,0.00017469662998337299,366.3653869628906
monchengladbach_000000_002255,train,256,512,16,35,3.857041500043124,15.46988296508789,4.517590522766113,279.9874572753906,0.004839945584535599,0.004309480078518391,14006,2097152,0.006678581237792969,0.00012819170660804957,268.8374938964844
zurich_000052_000019,train,256,512,16,35,4.120104499976151,19.20415687561035,5.357640266418457,353.9761962890625,0.004966993350535631,0.004544021096080542,18539,2097152,0.008840084075927734,0.0001622319978196174,340.22515869140625
ulm_000069_000019,train,256,512,16,35,3.532845899986569,12.563702583312988,3.9749927520751953,219.5641632080078,0.004968447610735893,0.0036601214669644833,11941,2097152,0.005693912506103516,9.946789941750467e-05,208.59930419921875
strasbourg_000001_005289,train,256,512,16,39,4.221234900003765,7.380006790161133,2.8412551879882812,116.0299072265625,0.004664731677621603,0.002014551544561982,8041,2097152,0.003834247589111328,5.185703412280418e-05,108.75208282470703
bremen_000052_000019,train,256,512,16,37,3.9997045999625698,12.38213300704956,5.003368854522705,188.63278198242188,0.0047371843829751015,0.002665125299245119,11945,2097152,0.005695819854736328,8.54249665280804e-05,179.14913940429688
hamburg_000000_071675,train,256,512,16,35,3.757467799994629,13.486415386199951,4.4669060707092285,230.57723999023438,0.004908059258013964,0.0038132343906909227,11550,2097152,0.005507469177246094,0.00010432565613882616,218.78675842285156
zurich_000069_000019,train,256,512,16,37,4.0264912999700755,17.50678586959839,6.861109256744385,272.1490478515625,0.004785954020917416,0.0029423823580145836,16453,2097152,0.007845401763916016,0.00012383390276227146,259.6985168457031
hamburg_000000_018592,train,256,512,16,34,3.639604500029236,28.357123374938965,9.269146919250488,487.9703674316406,0.004934248980134726,0.004597945138812065,24204,2097152,0.011541366577148438,0.00022452307166531682,470.8590087890625
cologne_000054_000019,train,256,512,16,34,3.87111999996705,20.25076675415039,5.692911148071289,372.16107177734375,0.004936970770359039,0.00481426902115345,17894,2097152,0.008532524108886719,0.00017094294889830053,358.49334716796875
hanover_000000_040051,train,256,512,16,36,3.9809443000121973,15.01421594619751,4.56325101852417,267.17138671875,0.004784468095749617,0.003987885545939207,13692,2097152,0.0065288543701171875,0.000121972436318174,255.79473876953125
hamburg_000000_088983,train,256,512,16,35,3.6978679000167176,18.527740001678467,7.0011305809021,294.6694641113281,0.00492390850558877,0.0031935435254126787,17290,2097152,0.008244514465332031,0.00013410666724666953,281.2420654296875
