order,sample_id,split,original_height,original_width,model_height,model_width,scale,highpass_min,highpass_max,highpass_mean,highpass_std
0,hamburg_000000_091900,train,1024,2048,256,512,0.25,-0.27069059014320374,0.35213613510131836,3.227424713259097e-06,0.018731845542788506
1,hanover_000000_026743,train,1024,2048,256,512,0.25,-0.2064678966999054,0.29944685101509094,2.3038246581563726e-06,0.024244774132966995
2,bremen_000054_000019,train,1024,2048,256,512,0.25,-0.13623109459877014,0.32530567049980164,1.1898132470378187e-06,0.017163049429655075
3,weimar_000017_000019,train,1024,2048,256,512,0.25,-0.22546927630901337,0.35332396626472473,2.5681365514174104e-06,0.029308781027793884
4,monchengladbach_000000_002255,train,1024,2048,256,512,0.25,-0.22416694462299347,0.30713799595832825,-3.3724784316291334e-06,0.0246067326515913
5,zurich_000052_000019,train,1024,2048,256,512,0.25,-0.2272295355796814,0.3513976037502289,1.5204368537524715e-06,0.027726387605071068
6,ulm_000069_000019,train,1024,2048,256,512,0.25,-0.2035616636276245,0.3041227459907532,5.059850991528947e-06,0.021319815889000893
7,strasbourg_000001_005289,train,1024,2048,256,512,0.25,-0.20916390419006348,0.20099972188472748,-1.999386313400464e-06,0.01429187785834074
8,bremen_000052_000019,train,1024,2048,256,512,0.25,-0.17612957954406738,0.28998973965644836,1.486105247749947e-06,0.019177891314029694
9,hamburg_000000_071675,train,1024,2048,256,512,0.25,-0.3363298773765564,0.3340069055557251,-2.445394784444943e-07,0.022259732708334923
10,zurich_000069_000019,train,1024,2048,256,512,0.25,-0.15771043300628662,0.3149302005767822,4.246077878633514e-06,0.023636749014258385
11,hamburg_000000_018592,train,1024,2048,256,512,0.25,-0.40629780292510986,0.2895074784755707,3.7740101106464863e-06,0.032678309828042984
12,cologne_000054_000019,train,1024,2048,256,512,0.25,-0.19721391797065735,0.3095459043979645,-2.450509327900363e-06,0.02834656834602356
13,hanover_000000_040051,train,1024,2048,256,512,0.25,-0.23732393980026245,0.2639228105545044,4.212637577438727e-06,0.02346004918217659
14,hamburg_000000_088983,train,1024,2048,256,512,0.25,-0.4131620526313782,0.26062068343162537,1.425099981133826e-06,0.02352890744805336
15,tubingen_000052_000019,train,1024,2048,256,512,0.25,-0.20192454755306244,0.3346024453639984,9.177201718557626e-07,0.02382892742753029
16,aachen_000041_000019,train,1024,2048,256,512,0.25,-0.19250372052192688,0.32444655895233154,7.181401997513603e-07,0.02092203125357628
17,zurich_000041_000019,train,1024,2048,256,512,0.25,-0.2183724045753479,0.24818694591522217,-2.5175122573273256e-06,0.028956705704331398
18,hamburg_000000_027304,train,1024,2048,256,512,0.25,-0.3119516968727112,0.28282490372657776,-7.0873047661734745e-06,0.03322964906692505
19,bremen_000217_000019,train,1024,2048,256,512,0.25,-0.21585677564144135,0.28093793988227844,-1.5274908946594223e-06,0.018056536093354225
20,tubingen_000056_000019,train,1024,2048,256,512,0.25,-0.223016619682312,0.30975303053855896,-2.9189654924266506e-06,0.0264359749853611
21,strasbourg_000000_013223,train,1024,2048,256,512,0.25,-0.2303784191608429,0.2539321184158325,3.8113985283416696e-06,0.01724671758711338
22,strasbourg_000001_024152,train,1024,2048,256,512,0.25,-0.21362271904945374,0.2616610825061798,-3.7920653994660825e-06,0.02677243947982788
23,zurich_000014_000019,train,1024,2048,256,512,0.25,-0.23985275626182556,0.2763440012931824,-2.365701220696792e-06,0.02660278230905533
